Date,Close,signal
2021-05-23,1876.699951171875,1
2021-05-30,1902.5,1
2021-06-06,1889.800048828125,1
2021-06-13,1877.4000244140625,1
2021-06-20,1767.9000244140625,1
2021-06-27,1776.5999755859375,1
2021-07-04,1782.5999755859375,1
2021-07-11,1810.0,1
2021-07-18,1814.5,1
2021-07-25,1801.4000244140625,0
2021-08-01,1812.5999755859373,1
2021-08-08,1760.0,0
2021-08-15,1775.199951171875,0
2021-08-22,1781.0,0
2021-08-29,1816.5999755859373,0
2021-09-05,1830.9000244140625,0
2021-09-12,1789.5999755859375,0
2021-09-19,1749.4000244140625,0
2021-09-26,1749.699951171875,0
2021-10-03,1757.0,0
2021-10-10,1756.300048828125,0
2021-10-17,1767.199951171875,0
2021-10-24,1795.5,0
2021-10-31,1783.0,0
2021-11-07,1816.4000244140625,0
2021-11-14,1867.9000244140625,1
2021-11-21,1851.199951171875,1
2021-11-28,1785.300048828125,1
2021-12-05,1782.0,1
2021-12-12,1782.9000244140625,1
2021-12-19,1803.800048828125,1
2021-12-26,1811.199951171875,1
2022-01-02,1827.5,1
2022-01-09,1797.0,1
2022-01-16,1816.5,1
2022-01-23,1831.800048828125,1
2022-01-30,1784.9000244140625,1
2022-02-06,1806.5999755859373,1
2022-02-13,1840.800048828125,1
2022-02-20,1898.5999755859373,1
2022-02-27,1886.5,1
2022-03-06,1965.0999755859373,1
2022-03-13,1982.699951171875,1
2022-03-20,1928.199951171875,1
2022-03-27,1953.800048828125,1
2022-04-03,1919.0999755859373,1
2022-04-10,1941.5999755859373,1
2022-04-17,1970.9000244140625,1
2022-04-24,1931.0,1
2022-05-01,1909.300048828125,1
2022-05-08,1881.199951171875,1
2022-05-15,1807.4000244140625,1
2022-05-22,1841.800048828125,1
2022-05-29,1851.300048828125,1
2022-06-05,1845.4000244140625,0
2022-06-12,1871.5,0
2022-06-19,1835.5999755859373,0
2022-06-26,1826.5,0
2022-07-03,1798.9000244140625,0
2022-07-10,1740.5999755859375,0
2022-07-17,1702.4000244140625,0
2022-07-24,1727.0999755859375,0
2022-07-31,1762.9000244140625,0
2022-08-07,1772.9000244140625,0
2022-08-14,1798.5999755859375,0
2022-08-21,1747.5999755859375,0
2022-08-28,1736.0999755859375,0
2022-09-04,1709.800048828125,0
2022-09-11,1716.199951171875,0
2022-09-18,1671.699951171875,0
2022-09-25,1645.300048828125,0
2022-10-02,1662.4000244140625,0
2022-10-09,1700.5,0
2022-10-16,1641.699951171875,0
2022-10-23,1651.0,0
2022-10-30,1639.5999755859375,0
2022-11-06,1672.5,0
2022-11-13,1766.0,0
2022-11-20,1751.9000244140625,0
2022-11-27,1753.300048828125,0
2022-12-04,1795.9000244140625,0
2022-12-11,1798.0999755859375,1
2022-12-18,1790.0,1
2022-12-25,1795.9000244140625,1
2023-01-01,1819.699951171875,1
2023-01-08,1864.199951171875,1
2023-01-15,1918.4000244140625,1
2023-01-22,1926.4000244140625,1
2023-01-29,1928.5999755859373,1
2023-02-05,1862.9000244140625,1
