Date,signal,position,Close,strategy
2019-04-21,0,0,6.708099842071533,S3_breakout
2019-04-28,0,0,6.742099761962891,S3_breakout
2019-05-05,0,0,6.73390007019043,S3_breakout
2019-05-12,0,0,6.826499938964844,S3_breakout
2019-05-19,1,1,6.882800102233887,S3_breakout
2019-05-26,0,1,6.9095001220703125,S3_breakout
2019-06-02,0,1,6.900899887084961,S3_breakout
2019-06-09,0,1,6.908999919891357,S3_breakout
2019-06-16,0,1,6.92080020904541,S3_breakout
2019-06-23,0,1,6.85099983215332,S3_breakout
2019-06-30,0,1,6.867099761962891,S3_breakout
2019-07-07,0,1,6.87060022354126,S3_breakout
2019-07-14,0,1,6.869200229644775,S3_breakout
2019-07-21,0,1,6.879099845886231,S3_breakout
2019-07-28,0,1,6.871600151062012,S3_breakout
2019-08-04,0,1,6.897799968719482,S3_breakout
2019-08-11,0,1,7.044300079345703,S3_breakout
2019-08-18,0,1,7.02400016784668,S3_breakout
2019-08-25,0,1,7.082699775695801,S3_breakout
2019-09-01,0,1,7.143599987030029,S3_breakout
2019-09-08,0,1,7.14769983291626,S3_breakout
2019-09-15,0,1,7.078400135040283,S3_breakout
2019-09-22,0,1,7.095600128173828,S3_breakout
2019-09-29,0,1,7.1315999031066895,S3_breakout
2019-10-06,0,1,7.147500038146973,S3_breakout
2019-10-13,0,1,7.115499973297119,S3_breakout
2019-10-20,0,1,7.076399803161621,S3_breakout
2019-10-27,0,1,7.0680999755859375,S3_breakout
2019-11-03,0,0,7.0381999015808105,S3_breakout
2019-11-10,0,0,6.997200012207031,S3_breakout
2019-11-17,0,0,7.019800186157227,S3_breakout
2019-11-24,0,0,7.028200149536133,S3_breakout
2019-12-01,0,0,7.03439998626709,S3_breakout
2019-12-08,0,0,7.043799877166748,S3_breakout
2019-12-15,0,0,7.019499778747559,S3_breakout
2019-12-22,0,0,7.009399890899658,S3_breakout
2019-12-29,0,0,6.996300220489502,S3_breakout
2020-01-05,0,0,6.963399887084961,S3_breakout
2020-01-12,0,0,6.951700210571289,S3_breakout
2020-01-19,0,0,6.878099918365479,S3_breakout
2020-01-26,0,0,6.9355998039245605,S3_breakout
2020-02-02,0,0,6.935699939727783,S3_breakout
2020-02-09,0,0,6.969799995422363,S3_breakout
2020-02-16,0,0,6.976399898529053,S3_breakout
2020-02-23,0,0,7.02239990234375,S3_breakout
2020-03-01,0,0,7.003499984741211,S3_breakout
2020-03-08,0,0,6.935999870300293,S3_breakout
2020-03-15,0,0,7.028600215911865,S3_breakout
2020-03-22,1,1,7.107699871063232,S3_breakout
2020-03-29,0,1,7.073100090026856,S3_breakout
2020-04-05,0,1,7.083199977874756,S3_breakout
