asset,freq,dataset,model,task,mae,rmse,spearman
OIL,W,ext,LR_cls,classification,,,
OIL,W,ext,LR_reg,regression,,,
OIL,W,ext,LSTM_cls,classification,,,
OIL,W,ext,LSTM_reg,regression,,,
OIL,W,ext,MLP_cls,classification,,,
OIL,W,ext,MLP_reg,regression,,,
OIL,W,ext,RF_cls,classification,,,
OIL,W,ext,RF_reg,regression,3.816630582237577,5.070033890808159,0.03713734777808
OIL,W,ext,XGB_cls,classification,,,
OIL,W,ext,XGB_reg,regression,4.068402763340339,5.2856452387698045,0.0484936497522309
USDCNY,D,base,GRU_cls,classification,,,
USDCNY,D,base,GRU_reg,regression,,,
USDCNY,D,base,LR_cls,classification,,,
USDCNY,D,base,LR_reg,regression,,,
USDCNY,D,base,LSTM_cls,classification,,,
USDCNY,D,base,LSTM_reg,regression,,,
USDCNY,D,base,MLP_cls,classification,,,
USDCNY,D,base,MLP_reg,regression,,,
USDCNY,D,base,RF_cls,classification,,,
USDCNY,D,base,RF_reg,regression,0.2734683059972562,0.4031788636786113,0.2810737759853152
USDCNY,D,base,XGB_cls,classification,,,
USDCNY,D,base,XGB_reg,regression,0.2701655884834903,0.3922994442301027,0.3018449718761663
USDCNY,D,eng,GRU_cls,classification,,,
USDCNY,D,eng,GRU_reg,regression,,,
USDCNY,D,eng,LR_cls,classification,,,
USDCNY,D,eng,LR_reg,regression,,,
USDCNY,D,eng,LSTM_cls,classification,,,
USDCNY,D,eng,LSTM_reg,regression,,,
USDCNY,D,eng,MLP_cls,classification,,,
USDCNY,D,eng,MLP_reg,regression,,,
USDCNY,D,eng,RF_cls,classification,,,
USDCNY,D,eng,RF_reg,regression,0.2603097804280461,0.3931968580186521,0.2935804203984297
USDCNY,D,eng,XGB_cls,classification,,,
USDCNY,D,eng,XGB_reg,regression,0.2483665350561499,0.3717672345918891,0.2970808030988607
USDCNY,D,ext,GRU_cls,classification,,,
USDCNY,D,ext,GRU_reg,regression,,,
USDCNY,D,ext,LR_cls,classification,,,
USDCNY,D,ext,LR_reg,regression,,,
USDCNY,D,ext,LSTM_cls,classification,,,
USDCNY,D,ext,LSTM_reg,regression,,,
USDCNY,D,ext,MLP_cls,classification,,,
USDCNY,D,ext,MLP_reg,regression,,,
USDCNY,D,ext,RF_cls,classification,,,
USDCNY,D,ext,RF_reg,regression,0.2603097804280461,0.3931968580186521,0.2935804203984297
USDCNY,D,ext,XGB_cls,classification,,,
USDCNY,D,ext,XGB_reg,regression,0.2483665350561499,0.3717672345918891,0.2970808030988607
USDCNY,W,base,GRU_cls,classification,,,
USDCNY,W,base,GRU_reg,regression,,,
USDCNY,W,base,LR_cls,classification,,,
USDCNY,W,base,LR_reg,regression,,,
USDCNY,W,base,LSTM_cls,classification,,,
USDCNY,W,base,LSTM_reg,regression,,,
USDCNY,W,base,MLP_cls,classification,,,
USDCNY,W,base,MLP_reg,regression,,,
USDCNY,W,base,RF_cls,classification,,,
USDCNY,W,base,RF_reg,regression,0.4764165892797951,0.6591373832070265,-0.1038176164034287
USDCNY,W,base,XGB_cls,classification,,,
USDCNY,W,base,XGB_reg,regression,0.5017243297220849,0.6959560262899402,-0.1608805001253513
USDCNY,W,eng,GRU_cls,classification,,,
USDCNY,W,eng,GRU_reg,regression,,,
USDCNY,W,eng,LR_cls,classification,,,
USDCNY,W,eng,LR_reg,regression,,,
USDCNY,W,eng,LSTM_cls,classification,,,
USDCNY,W,eng,LSTM_reg,regression,,,
USDCNY,W,eng,MLP_cls,classification,,,
USDCNY,W,eng,MLP_reg,regression,,,
USDCNY,W,eng,RF_cls,classification,,,
USDCNY,W,eng,RF_reg,regression,0.4636819747340667,0.653074853745422,-0.0497084913560886
USDCNY,W,eng,XGB_cls,classification,,,
USDCNY,W,eng,XGB_reg,regression,0.4686704363960934,0.6570824035947728,-0.0430795367866306
USDCNY,W,ext,GRU_cls,classification,,,
USDCNY,W,ext,GRU_reg,regression,,,
USDCNY,W,ext,LR_cls,classification,,,
USDCNY,W,ext,LR_reg,regression,,,
USDCNY,W,ext,LSTM_cls,classification,,,
USDCNY,W,ext,LSTM_reg,regression,,,
USDCNY,W,ext,MLP_cls,classification,,,
USDCNY,W,ext,MLP_reg,regression,,,
USDCNY,W,ext,RF_cls,classification,,,
USDCNY,W,ext,RF_reg,regression,0.4636819747340667,0.653074853745422,-0.0497084913560886
USDCNY,W,ext,XGB_cls,classification,,,
USDCNY,W,ext,XGB_reg,regression,0.4686704363960934,0.6570824035947728,-0.0430795367866306
